CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
157,1571,TUBOZAN TUBO SOLD 50 6M,2.0,86.0605,172.121
157,532,CAIXA SIF KRONA QUADRADA BRANCA 100MM,3.0,22.4378,67.313
157,1521,TUBOZAN JOELHO 90 ESGOTO 40,12.0,2.8215,33.858
158,1725,MULTIMASSA TAPA FURO 340GR,1.0,42.49,42.49
158,902,CORANTE LIQUIDO MARROM - CHEMICOLOR,1.0,4.85,4.85
160,800,ARAME RECOZIDO LISO 18,1.0,25.0,25.0
163,300,FITA VEDA ROSCA 18MMX10M,1.0,1.805,1.805
163,1348,PLUG ROSC 1/2,1.0,1.102,1.102
163,352,LUVA ROSC 3/4,1.0,3.268,3.268
163,981,TORNEIRA TANQUE MAQ CROSS BR 1/2X3/4  - TIGRE,1.0,41.82,41.82
164,1166,AMANCO JOELHO 90 SOLD 20MM CB,8.0,1.78,14.24
165,1878,PINO ADAPTADOR 10/20A,1.0,5.0,5.0
166,6,AVANT LUM PLAFON LED SOBREP QUADRADO 24W,1.0,68.5,68.5
169,319,KIT ACESS. 5 PCS CR SAMBA,1.0,55.13,55.13
169,1549,TUBOZAN HASTE PARA CHUVEIRO 1/2,1.0,12.98,12.98
169,1824,ATLAS CONJ ACESS BANH 5PC METAL POLIDO,1.0,123.372,123.372
169,253,CHUV. MAXI DUCHA 220V/4600W,1.0,75.97,75.97
170,717,MAX COLLOR MASSA PVA 20KG,3.0,33.3333,100.0
171,505,DISCO DIAMANTADO 110MM TURBO MELFI,1.0,15.52,15.52
172,722,CIMENTO ITAU 50KG,2.0,45.9,91.8
172,808,PREGO TELHEIRO 18X30 (500G),2.0,14.5985,29.197
173,923,LAPIS CARPINTEIRO AZUL - IRWIN,2.0,2.5,5.0
173,322,LAMINA SERRA BIMETAL 300MM STARRETT,1.0,13.0,13.0
174,645,REJUNTAMENTO USICAL - CZ PLATINA 1KG,1.0,9.6,9.6
174,1078,AVANT LAMPADA PERA BRANCA 12W-BIV,1.0,11.514,11.514
174,1234,BROCA ACO RAPIDO MM 8;00MM - WORKER,1.0,26.103,26.103
175,1335,"TRELICA TG8L 6/4,2/4,2MM 12M",10.0,113.9,1139.0
176,1734,"EUCATEX VERNIZ TINGIDOR BRILHANTE MOGNO 3,6L",1.0,115.2,115.2
177,722,CIMENTO ITAU 50KG,2.0,45.9,91.8
177,763,AREIA MEDIA,1.0,70.965,70.965
178,655,REJUNTAMENTO PORCELANATO USICAL - BRANCO 1KG,1.0,13.483,13.483
179,1335,"TRELICA TG8L 6/4,2/4,2MM 12M",1.0,109.9,109.9
179,1403,TRELICA LEVE 6M (5.0MM X 3.4MM X 3.4MM),1.0,52.9,52.9
179,805,PREGO C/CABECA 17X27,1.0,25.841,25.841
180,807,PREGO C/CABECA 18X30,2.0,23.988,47.976
180,62,PREGO C/CABECA 19 X 36,1.0,25.42,25.42
